sybil_address,account_type
0xf2d8ef4c9fb136e61dcc02e9337c744f94ccc9f0,core
0xe9db9038180321cc7eaa9ec0df0a64100238d47e,core
0xf905ae45e2da775dd38b68341fa0b93a45144868,core
0x33d7a200cde784743a1d9fa6172073a4bb12c05f,core
0x35f5dbd6061a6ab0c3ebeb5dce41acb309f4c136,satellite
0x0f36c1b0aa94bdd03ebee6dcee223bfc1dc335c9,core
0x1ebc3dbb267f3f7d197f30a88980d93641cfd651,satellite
0xe6e3de3d21fd18a1e3ba8296aa859ee9759013fa,core
0x7c93e67d3df9b5e460359ba5ccc520972e53daa8,satellite
0x5461d1e1e700cb6376ffe6479fd3f4516ab7bce7,satellite
0xba54c8c1eac3d3a08a5a83aca8ca8cd886c73f42,core
0x953bd768f09aa2577a101b21dd836447369fd776,satellite
0x43b256c4cfb36fdadb3a5e384e9d8fe0faae0448,satellite
0x8b9c657ba6e63c519dd0305956d3d15dc2d0470c,satellite
0xbddbd55f525f588f224b7283ef7c78bd5341308b,core
0x3cdfa7914d2932fbb5cc10b5ac8013daa1892919,core
0x12a9108074042924213ac21dada12611420ce28f,core
0x741228b118dd8b78bd78a6040c4366e9a0105c82,satellite
0x3a0b348f987fd06476be90dca82e1cd55f88b0ef,core
0xbca43321efa55189898d4dc444776c1279412db1,core
0x0c3ec39518437c6bbfb76ef7679d2ea997841313,satellite
0xafdeedb3d6584f0f40e420cee1573187822ced56,satellite
0xe7bd957541b0a0bcd4339761ec4487a8bc9eb445,satellite
0xc0dc2882ac8df34e5a6e0c2768d911c751dcedcb,satellite
0x5743ed5cecaa71720c2a9318f425973386393f3b,core
0xa79d3419b03115876066508101c05022e6a32edc,core
0x8d341a0e8e57d08208a1b14610c8e4af3053a003,core
0xfb0f6f3e2c4ead649b6b1ba155067430e95eecc1,core
0xe6addc208798924d5456e7a5f36ff6fc459b5257,core
0xf1e3cc843d9b0aecbd110897130748ccbc604dee,satellite
0x540b8c9dfcc85347e9d6246d0c72b6dfc170a238,core
0xd14fb52c3cf619741d06d3ec0597b262825aefef,core
0x7b0b66035234c8d6b6792c355559693e17e86530,satellite
0x62c6a9d8b52cc218070194b7a0fb41e63cefaa6e,satellite
0x98e5a05b52291862d814c763606392f52885141d,core
0x3415f7dffb4bb2cac4bf17fbb379dcdab7573519,core
0xda7e2faab3344cb1b23d80b3dc2a8b3185ff7d40,satellite
0x33e97073976213e010c639760780f804e13eaf56,satellite
0x65d23ae7c6c772f91ccc689047f9132a5c6fa671,core
0x902eebb73e05715130b6c53f20bd32f1764c5dd8,satellite
0x2dcb63bfc66a074248b71fedff1ea219d9440bb6,satellite
0xaf6b4f8c98180bf1623f47a83cda41bceebe4889,core
0x75caa969ce35943b36b539d8a00bb3c985f2a20c,core
0xf55443a773d9210fd236a06c185c7663abe3cbc6,satellite
0xccb130308c93c1eef3bd576bfbc574860d2cfada,satellite
0xaf53cae4b39681a02165c0da8855150e9bc52dfb,core
0x5c41d5ef00014f96d19ed56a72b96cbdbc1fe27f,satellite
0x758e41d13a0cd90f79ccfcd7e64a0ba6594fec5a,core
0x47d5f79a2ea3d5b55abe801c3c9f7733381c48f5,satellite
0x05fa420a1810499ee585e13fd8bbc574d2b8d5a4,core
0x1194fcc3fe1288f080efb8e96753618499587f2b,satellite
0xb284263f2e3709a577f04dd92ae239a62e239a14,satellite
