layer_zero_sybil_address,num_rank
0x00bf3e2466aa24f1faf9d5e0d3cc89bd5d45aa87,53
0x00c3082a2d3edddd54a59dbbc59cae1121c755ec,54
0x00c3daac3f6b8ef6530b47ec435442843d07211e,55
0x00c441434112c27aefab19663efcb323a83bd9a1,56
0x00c4cde34536c93cd368b644ce0f486e3262b796,57
0x00c807cc8466d2d94dfd5b93a643f495c91dce5e,58
0x00cc5567fa1774af8af965b0d79161ca493b6bb0,59
0x00d1cc134f68801822774540565fa6ab5b63588d,60
0x00d3aaa1762ee760edbeed7d4096cede1423f630,61
0x00d6061fc8e23f41e02269a8e9f9fbcaea1594a2,62
0x00dfa97a2c05b7afc55e40651351a5e40b181352,63
0x00e1cbb60c7e0801a96a8094088db328eda60bef,64
0x00e3df903ba78dad79dd0255c9e3b0759ed37a30,65
0x00e6778297aeaf800a6b4d9d8933f70db50a0ffb,66
0x00eb2b1390fbbe6cf4b2a6a0741f3bdb7199838f,67
0x00ee52423d21c4b75d06e067173f6cc527a6de52,68
0x00ef7bfb25aa27057b553f55c9bfa6965364ac41,69
0x00f28207faac34216f3849be6efa317876ac23d6,70
0x00f52794a769906a3376ea9acdc4a244bc2a8c8e,71
0x00f66c47a5295ff062dc4b5637f7fa454d44f4ee,72
0x00f77ea074591ced31884cb2ecef7d7abc99320a,73
0x00f81879b183ce5da5c01badc04980e519d04b39,74
0x00f9281dfdad3d8105629d69adaca3bdde0e4266,75
0x00fa0105916e546c7c26b2c1a4a95e21e866e7aa,76
0x00fc6a351a73cb7d1e4196bcece8705a0b684243,77
0x00fe27017ae467d11628e208527abd42df129a81,78
0x00ff69b0325814f559b9abe3360ddaf0898f9df5,79
0x0104d078209b528be24f09225efd0f54baafc853,80
0x0107b562275c98ae132ba0581c021eb89e42171e,81
0x0109115130093905b9fecd7b7b3f39fe87d22f3b,82
0x0110d2ac6ba311adc68ca2ca556dd7f9f53c658c,83
0x0111e3a867e16a4720819181f449553a8e11e7a2,84
0x0117320e69145ae24c371135201754f31b850a40,85
0x0117fa80e8d0338183f85b3625db2081f9c7e9b4,86
0x011863a3dfad0e64c0ac1f74b2432260905f0e64,87
0x01191385b86ef054a6dac207003f3a9f065b99fe,88
0x011ec1938a68342ee6d9bcd116b1c64ce6d5c893,89
0x011efdf3f7515345d68c1a0591a11fc438e6628f,90
0x0121010231ec9481e75e245418feee47adc84835,91
0x01217a88d1d39b3ef16b9a3beede163a6fbd8c05,92
0x012519dc7fdab0249ca2769664c474eb235a3d4d,93
0x012efadc55df413355a48d5c29701a6b30e614b3,94
0x013420415b3ddfdfae5bc73bf7ec1ea0610efcea,95
0x0139b0482de2d9ae7f3aab15fa64524c63880b80,96
0x013c995a61d27e9c392eaa2faf3f2529f64f3722,97
0x013f370a7734ee778e8c1d37366ed1f4b0acd5a7,98
0x01408f02c706bd2b4c352061920a3b7fcf580bf0,99
0x014394703a5348a2461482d1e590f24f109c9d4c,100
0x0143efec847a2748bf576bd1276440b40e707d5d,101
0x01451cafcd39f4f7b097c0627f496f7bb22684b2,102
0x014788e1cc43be43dba60662f948f4b217c47ce7,103
0x014996d1664b180f3021669cfbe3b2904da5b308,104
0x0155c3dee4e5532b9deac2ffd6c8aa54ffc5f420,105
0x0159ddcb272711e03f5a1cf08308d666b748fe3c,106
0x0159e2dfb148f1661f83044e4dc1c69a01a6287d,107
0x015c893b9e0d4b18c72fc2f8d92da97d08507fbd,108
0x015cad5a010b0d0ea5927f33a35fbb93d5e59e5c,109
0x015f2bf249b0d4044829a658f7e6eb9d75c38e0f,110
0x0160d70946a73bf587a4e70b0a01945c997291f4,111
0x016123a3c971e0acb017fa24469a569c14dd3bce,112
0x0163ffec7a57c63e9c8c3af1644516490ebae714,113
0x016ce9dd54888919e76fc64ec5fc5932369862bc,114
0x016e8e60b2bf8ca596d79d63304f6546621aa0fa,115
